var,y,dim,val_district_ann_agg,val_district_foreign_total,share_district_foreign,k_growth_coef,k_growth_coef_pct
Počet návštevníkov spolu,2020,Netherlands,186,14302,1.3,31,3000.00
Počet návštevníkov spolu,2020,New Zealand,2,14302,0.01,0.010752688172043,-98.92
Počet návštevníkov spolu,2020,North Macedonia,2,14302,0.01,1,0.00
Počet návštevníkov spolu,2020,Other American countries,4,14302,0.03,2,100.00
Počet návštevníkov spolu,2020,Poland,3132,14302,21.9,783,78200.00
Počet návštevníkov spolu,2020,Romania,39,14302,0.27,0.0124521072796935,-98.75
Počet návštevníkov spolu,2020,Russia,40,14302,0.28,1.02564102564103,2.56
Počet návštevníkov spolu,2020,Saudi Arabia,1,14302,0.01,0.025,-97.50
Počet návštevníkov spolu,2020,Serbia,5,14302,0.03,5,400.00
Počet návštevníkov spolu,2020,Slovenia,471,14302,3.29,94.2,9320.00
Počet návštevníkov spolu,2020,Spain,8,14302,0.06,0.0169851380042463,-98.30
Počet návštevníkov spolu,2020,Sweden,20,14302,0.14,2.5,150.00
Počet návštevníkov spolu,2020,Switzerland,71,14302,0.5,3.55,255.00
Počet návštevníkov spolu,2020,Thailand,2,14302,0.01,0.028169014084507,-97.18
Počet návštevníkov spolu,2020,Turkey,6,14302,0.04,3,200.00
Počet návštevníkov spolu,2020,Ukraine,169,14302,1.18,28.1666666666667,2716.67
Počet návštevníkov spolu,2020,United Kingdom,73,14302,0.51,0.431952662721893,-56.80
Počet návštevníkov spolu,2020,United States,17,14302,0.12,0.232876712328767,-76.71
Počet návštevníkov spolu,2021,Israel,61,6911,0.88,3.58823529411765,258.82
Počet návštevníkov spolu,2021,Estonia,15,6911,0.22,0.245901639344262,-75.41
Počet návštevníkov spolu,2021,Latvia,84,6911,1.22,5.6,460.00
Počet návštevníkov spolu,2021,Romania,17,6911,0.25,0.202380952380952,-79.76
Počet návštevníkov spolu,2021,Norway,1,6911,0.01,0.0588235294117647,-94.12
Počet návštevníkov spolu,2021,Ireland,10,6911,0.14,10,900.00
Počet návštevníkov spolu,2021,Taiwan,2,6911,0.03,0.2,-80.00
Počet návštevníkov spolu,2021,Belgium,55,6911,0.8,27.5,2650.00
Počet návštevníkov spolu,2021,Austria,116,6911,1.68,2.10909090909091,110.91
Počet návštevníkov spolu,2021,Denmark,26,6911,0.38,0.224137931034483,-77.59
Počet návštevníkov spolu,2021,Other American countries,2,6911,0.03,0.0769230769230769,-92.31
Počet návštevníkov spolu,2021,Brazil,6,6911,0.09,3,200.00
Počet návštevníkov spolu,2021,Japan,2,6911,0.03,0.333333333333333,-66.67
Počet návštevníkov spolu,2021,Switzerland,34,6911,0.49,17,1600.00
Počet návštevníkov spolu,2021,Other Asian States,9,6911,0.13,0.264705882352941,-73.53
Počet návštevníkov spolu,2021,United Kingdom,20,6911,0.29,2.22222222222222,122.22
Počet návštevníkov spolu,2021,Czechia,2501,6911,36.19,125.05,12405.00
Počet návštevníkov spolu,2021,Hungary,870,6911,12.59,0.347860855657737,-65.21
Počet návštevníkov spolu,2021,Poland,1196,6911,17.31,1.37471264367816,37.47
Počet návštevníkov spolu,2021,Germany,846,6911,12.24,0.707357859531773,-29.26
Počet návštevníkov spolu,2021,Italy,113,6911,1.64,0.133569739952719,-86.64
Počet návštevníkov spolu,2021,Sweden,5,6911,0.07,0.0442477876106195,-95.58
Počet návštevníkov spolu,2021,Bosnia and Herzegovina,2,6911,0.03,0.4,-60.00
Počet návštevníkov spolu,2021,Portugal,1,6911,0.01,0.5,-50.00
Počet návštevníkov spolu,2021,Lithuania,89,6911,1.29,89,8800.00
Počet návštevníkov spolu,2021,Mexico,1,6911,0.01,0.0112359550561798,-98.88
Počet návštevníkov spolu,2021,Croatia,36,6911,0.52,36,3500.00
Počet návštevníkov spolu,2021,Ukraine,57,6911,0.82,1.58333333333333,58.33
Počet návštevníkov spolu,2021,Iceland,1,6911,0.01,0.0175438596491228,-98.25
Počet návštevníkov spolu,2021,South Korea,1,6911,0.01,1,0.00
Počet návštevníkov spolu,2021,United States,15,6911,0.22,15,1400.00
Počet návštevníkov spolu,2021,Kazakhstan,4,6911,0.06,0.266666666666667,-73.33
Počet návštevníkov spolu,2021,France,121,6911,1.75,30.25,2925.00
Počet návštevníkov spolu,2021,Serbia,5,6911,0.07,0.0413223140495868,-95.87
Počet návštevníkov spolu,2021,Russia,20,6911,0.29,4,300.00
Počet návštevníkov spolu,2021,Spain,40,6911,0.58,2,100.00
Počet návštevníkov spolu,2021,Netherlands,236,6911,3.41,5.9,490.00
Počet návštevníkov spolu,2021,Turkey,2,6911,0.03,0.00847457627118644,-99.15
Počet návštevníkov spolu,2021,Finland,8,6911,0.12,4,300.00
Počet návštevníkov spolu,2021,Luxembourg,3,6911,0.04,0.375,-62.50
Počet návštevníkov spolu,2021,Belarus,6,6911,0.09,2,100.00
Počet návštevníkov spolu,2021,Bulgaria,10,6911,0.14,1.66666666666667,66.67
Počet návštevníkov spolu,2021,Slovenia,23,6911,0.33,2.3,130.00
Počet návštevníkov spolu,2021,North Macedonia,2,6911,0.03,0.0869565217391304,-91.30
Počet prenocovaní návštevníkov spolu,2017,Austria,1863,67986,2.74,NULL,NULL
Počet prenocovaní návštevníkov spolu,2017,Cyprus,10,67986,0.01,0.00536768652710682,-99.46
Počet prenocovaní návštevníkov spolu,2017,Hong Kong,1,67986,0,0.1,-90.00
Počet prenocovaní návštevníkov spolu,2017,Russia,944,67986,1.39,944,94300.00
Počet prenocovaní návštevníkov spolu,2017,Poland,11590,67986,17.05,12.2775423728814,1127.75
Počet prenocovaní návštevníkov spolu,2017,Brazil,1236,67986,1.82,0.106643658326143,-89.34
Počet prenocovaní návštevníkov spolu,2017,Spain,108,67986,0.16,0.087378640776699,-91.26
Počet prenocovaní návštevníkov spolu,2017,Sweden,980,67986,1.44,9.07407407407407,807.41
Počet prenocovaní návštevníkov spolu,2017,Finland,145,67986,0.21,0.147959183673469,-85.20
Počet prenocovaní návštevníkov spolu,2017,Israel,1436,67986,2.11,9.90344827586207,890.34
Počet prenocovaní návštevníkov spolu,2017,Bosnia and Herzegovina,11,67986,0.02,0.00766016713091922,-99.23
Počet prenocovaní návštevníkov spolu,2017,Vietnam,4,67986,0.01,0.363636363636364,-63.64
Počet prenocovaní návštevníkov spolu,2017,Belarus,248,67986,0.36,62,6100.00
Počet prenocovaní návštevníkov spolu,2017,Portugal,70,67986,0.1,0.282258064516129,-71.77
Počet prenocovaní návštevníkov spolu,2017,Lithuania,441,67986,0.65,6.3,530.00
Počet prenocovaní návštevníkov spolu,2017,Netherlands,1002,67986,1.47,2.27210884353741,127.21
Počet prenocovaní návštevníkov spolu,2017,United Kingdom,770,67986,1.13,0.768463073852295,-23.15
Počet prenocovaní návštevníkov spolu,2017,Greece,16,67986,0.02,0.0207792207792208,-97.92
Počet prenocovaní návštevníkov spolu,2017,Mexico,32,67986,0.05,2,100.00
Počet prenocovaní návštevníkov spolu,2017,Croatia,119,67986,0.18,3.71875,271.88
Počet prenocovaní návštevníkov spolu,2017,Singapore,6,67986,0.01,0.0504201680672269,-94.96
Počet prenocovaní návštevníkov spolu,2017,Argentina,9,67986,0.01,1.5,50.00
Počet prenocovaní návštevníkov spolu,2017,Luxembourg,2,67986,0,0.222222222222222,-77.78
Počet prenocovaní návštevníkov spolu,2017,Thailand,7,67986,0.01,3.5,250.00
Počet prenocovaní návštevníkov spolu,2017,Canada,86,67986,0.13,12.2857142857143,1128.57
Počet prenocovaní návštevníkov spolu,2017,Australia,52,67986,0.08,0.604651162790698,-39.53
Počet prenocovaní návštevníkov spolu,2017,India,6,67986,0.01,0.115384615384615,-88.46
Počet prenocovaní návštevníkov spolu,2017,Ukraine,1015,67986,1.49,169.166666666667,16816.67
Počet prenocovaní návštevníkov spolu,2017,Turkey,128,67986,0.19,0.126108374384236,-87.39
Počet prenocovaní návštevníkov spolu,2017,Norway,64,67986,0.09,0.5,-50.00
Počet prenocovaní návštevníkov spolu,2017,Japan,35,67986,0.05,0.546875,-45.31
Počet prenocovaní návštevníkov spolu,2017,Latvia,137,67986,0.2,3.91428571428571,291.43
Počet prenocovaní návštevníkov spolu,2017,Albania,93,67986,0.14,0.678832116788321,-32.12
Počet prenocovaní návštevníkov spolu,2017,Taiwan,4,67986,0.01,0.043010752688172,-95.70
Počet prenocovaní návštevníkov spolu,2017,Slovenia,98,67986,0.14,24.5,2350.00
Počet prenocovaní návštevníkov spolu,2017,United States,869,67986,1.28,8.86734693877551,786.73
Počet prenocovaní návštevníkov spolu,2017,United Arab Emirates,1,67986,0,0.00115074798619102,-99.88
Počet prenocovaní návštevníkov spolu,2017,Other African States,4,67986,0.01,4,300.00
Počet prenocovaní návštevníkov spolu,2017,Moldova,3,67986,0,0.75,-25.00
Počet prenocovaní návštevníkov spolu,2017,Iceland,5,67986,0.01,1.66666666666667,66.67
Počet prenocovaní návštevníkov spolu,2017,Ireland,56,67986,0.08,11.2,1020.00
Počet prenocovaní návštevníkov spolu,2017,Denmark,107,67986,0.16,1.91071428571429,91.07
Počet prenocovaní návštevníkov spolu,2017,Estonia,51,67986,0.08,0.476635514018692,-52.34
