country,y,val_district_ann_agg,k_growth_coef,k_growth_coef_pct,index,users,new_users,sessions,bounce_rate,page_session,avg_session_dur,users_visitors_ratio
Spain,2019,208,0.99047619,-0.95,50,30,28,35,0.628571429,2.542857143,196.2,7
Spain,2020,8,0.038461538,-96.15,47,33,32,37,0.810810811,1.378378378,35.27027027,0
Spain,2021,40,5,400,64,21,21,24,0.583333333,1.5,28.08333333,2
Sweden,2017,245,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sweden,2018,233,0.951020408,-4.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sweden,2019,213,0.91416309,-8.58,72,18,18,24,0.666666667,1.666666667,86.45833333,12
Sweden,2020,20,0.093896714,-90.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sweden,2021,5,0.25,-75,62,22,22,23,0.826086957,1.565217391,93.65217391,0
Switzerland,2017,107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Switzerland,2018,160,1.495327103,49.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Switzerland,2019,188,1.175,17.5,54,27,26,28,0.785714286,2.142857143,78.28571429,7
Switzerland,2020,71,0.377659574,-62.23,35,52,51,59,0.745762712,2.06779661,80.28813559,1
Switzerland,2021,34,0.478873239,-52.11,45,36,36,38,0.842105263,1.394736842,23.36842105,1
Taiwan,2017,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Taiwan,2018,10,3.333333333,233.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Taiwan,2019,4,0.4,-60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Taiwan,2021,2,0.5,-50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Thailand,2017,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Thailand,2018,3,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Thailand,2019,8,2.666666667,166.67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Thailand,2020,2,0.25,-75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tunisia,2019,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Turkey,2017,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Turkey,2018,37,0.973684211,-2.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Turkey,2019,85,2.297297297,129.73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
