cat,dd,val_districts_country,k_growth_coef,k_growth_coef_pct
Domáci návštevníci (Prenocovania),20181001,8936,0.788841807909605,-21.12
Domáci návštevníci (Prenocovania),20181101,7263,0.812779767233662,-18.72
Domáci návštevníci (Prenocovania),20181201,7111,0.979072008811786,-2.09
Domáci návštevníci (Prenocovania),20190101,8449,1.18815918998734,18.82
Domáci návštevníci (Prenocovania),20190201,9673,1.14486921529175,14.49
Domáci návštevníci (Prenocovania),20190301,5560,0.574795823426031,-42.52
Domáci návštevníci (Prenocovania),20190401,6532,1.17482014388489,17.48
Domáci návštevníci (Prenocovania),20190501,12564,1.92345376607471,92.35
Domáci návštevníci (Prenocovania),20190601,11834,0.941897484877428,-5.81
Domáci návštevníci (Prenocovania),20190701,27609,2.33302349163427,133.30
Domáci návštevníci (Prenocovania),20190801,26040,0.943170705204824,-5.68
Domáci návštevníci (Prenocovania),20190901,11608,0.445775729646697,-55.42
Domáci návštevníci (Prenocovania),20191001,9240,0.796002756719504,-20.40
Domáci návštevníci (Prenocovania),20191101,8093,0.875865800865801,-12.41
Domáci návštevníci (Prenocovania),20191201,8576,1.05968120598048,5.97
Domáci návštevníci (Prenocovania),20200101,11669,1.36065764925373,36.07
Domáci návštevníci (Prenocovania),20200201,11383,0.975490616162482,-2.45
Domáci návštevníci (Prenocovania),20200301,3439,0.302117192304313,-69.79
Domáci návštevníci (Prenocovania),20200401,218,0.0633905205001454,-93.66
Domáci návštevníci (Prenocovania),20200501,4349,19.9495412844037,1894.95
Domáci návštevníci (Prenocovania),20200601,5676,1.3051276155438,30.51
Domáci návštevníci (Prenocovania),20200701,27235,4.79827343199436,379.83
Domáci návštevníci (Prenocovania),20200801,31989,1.17455480080778,17.46
Domáci návštevníci (Prenocovania),20200901,11431,0.357341586170246,-64.27
Domáci návštevníci (Prenocovania),20201001,3120,0.272941999825037,-72.71
Domáci návštevníci (Prenocovania),20201101,1973,0.632371794871795,-36.76
Domáci návštevníci (Prenocovania),20201201,1351,0.684744044602129,-31.53
Domáci návštevníci (Prenocovania),20210101,498,0.368615840118431,-63.14
Domáci návštevníci (Prenocovania),20210201,674,1.35341365461847,35.34
Domáci návštevníci (Prenocovania),20210301,1322,1.96142433234421,96.14
Domáci návštevníci (Prenocovania),20210401,1713,1.29576399394856,29.58
Domáci návštevníci (Prenocovania),20210501,2721,1.58844133099825,58.84
Domáci návštevníci (Prenocovania),20210601,6953,2.5553105475928,155.53
Domáci návštevníci (Prenocovania),20210701,25514,3.66949518193586,266.95
Domáci návštevníci (Prenocovania),20210801,31928,1.25139139296073,25.14
Domáci návštevníci (Prenocovania),20210901,8574,0.268541718867452,-73.15
Domáci návštevníci (Prenocovania),20211001,4305,0.502099370188943,-49.79
Domáci návštevníci (Prenocovania),20211101,811,0.188385598141696,-81.16
Domáci návštevníci (Prenocovania),20211201,1364,1.68187422934649,68.19
Zahraniční návštevníci (Počet),20170101,817,NULL,NULL
Zahraniční návštevníci (Počet),20170201,951,1.1640146878825,16.40
Zahraniční návštevníci (Počet),20170301,867,0.911671924290221,-8.83
Zahraniční návštevníci (Počet),20170401,1582,1.82468281430219,82.47
Zahraniční návštevníci (Počet),20170501,2129,1.34576485461441,34.58
Zahraniční návštevníci (Počet),20170601,2582,1.21277595115078,21.28
Zahraniční návštevníci (Počet),20170701,5980,2.31603408210689,131.60
Zahraniční návštevníci (Počet),20170801,5266,0.880602006688963,-11.94
Zahraniční návštevníci (Počet),20170901,2324,0.441321686289404,-55.87
Zahraniční návštevníci (Počet),20171001,1629,0.700946643717728,-29.91
Zahraniční návštevníci (Počet),20171101,642,0.394106813996317,-60.59
Zahraniční návštevníci (Počet),20171201,847,1.31931464174455,31.93
Zahraniční návštevníci (Počet),20180101,482,0.569067296340024,-43.09
Zahraniční návštevníci (Počet),20180201,1520,3.15352697095436,215.35
Zahraniční návštevníci (Počet),20180301,846,0.556578947368421,-44.34
Zahraniční návštevníci (Počet),20180401,1888,2.23167848699764,123.17
Zahraniční návštevníci (Počet),20180501,3300,1.7478813559322,74.79
Zahraniční návštevníci (Počet),20180601,3416,1.03515151515152,3.52
Zahraniční návštevníci (Počet),20180701,7739,2.26551522248244,126.55
Zahraniční návštevníci (Počet),20180801,8151,1.0532368523065,5.32
Zahraniční návštevníci (Počet),20180901,3417,0.419212366580788,-58.08
Zahraniční návštevníci (Počet),20181001,1599,0.467954345917471,-53.20
Zahraniční návštevníci (Počet),20181101,643,0.402126328955597,-59.79
Zahraniční návštevníci (Počet),20181201,1007,1.56609642301711,56.61
Zahraniční návštevníci (Počet),20190101,446,0.442899702085402,-55.71
Zahraniční návštevníci (Počet),20190201,559,1.25336322869955,25.34
Zahraniční návštevníci (Počet),20190301,478,0.855098389982111,-14.49
Zahraniční návštevníci (Počet),20190401,1094,2.28870292887029,128.87
Zahraniční návštevníci (Počet),20190501,3303,3.01919561243144,201.92
Zahraniční návštevníci (Počet),20190601,4225,1.27914017559794,27.91
Zahraniční návštevníci (Počet),20190701,8470,2.00473372781065,100.47
Zahraniční návštevníci (Počet),20190801,8857,1.0456906729634,4.57
Zahraniční návštevníci (Počet),20190901,3420,0.386135260246133,-61.39
Zahraniční návštevníci (Počet),20191001,2143,0.626608187134503,-37.34
Zahraniční návštevníci (Počet),20191101,706,0.329444703686421,-67.06
Zahraniční návštevníci (Počet),20191201,756,1.07082152974504,7.08
Zahraniční návštevníci (Počet),20200101,661,0.874338624338624,-12.57
Zahraniční návštevníci (Počet),20200201,649,0.981845688350983,-1.82
Zahraniční návštevníci (Počet),20200301,227,0.349768875192604,-65.02
Zahraniční návštevníci (Počet),20200401,NULL,NULL,NULL
Zahraniční návštevníci (Počet),20200501,19,NULL,NULL
Zahraniční návštevníci (Počet),20200601,615,32.3684210526316,3136.84
Zahraniční návštevníci (Počet),20200701,5297,8.6130081300813,761.30
Zahraniční návštevníci (Počet),20200801,5011,0.946007173872003,-5.40
Zahraniční návštevníci (Počet),20200901,1536,0.306525643584115,-69.35
Zahraniční návštevníci (Počet),20201001,187,0.121744791666667,-87.83
Zahraniční návštevníci (Počet),20201101,52,0.27807486631016,-72.19
Zahraniční návštevníci (Počet),20201201,48,0.923076923076923,-7.69
Zahraniční návštevníci (Počet),20210101,22,0.458333333333333,-54.17
Zahraniční návštevníci (Počet),20210201,36,1.63636363636364,63.64
Zahraniční návštevníci (Počet),20210301,18,0.5,-50.00
Zahraniční návštevníci (Počet),20210401,31,1.72222222222222,72.22
Zahraniční návštevníci (Počet),20210501,87,2.80645161290323,180.65
Zahraniční návštevníci (Počet),20210601,597,6.86206896551724,586.21
Zahraniční návštevníci (Počet),20210701,1672,2.80067001675042,180.07
Zahraniční návštevníci (Počet),20210801,2297,1.3738038277512,37.38
Zahraniční návštevníci (Počet),20210901,1421,0.61863299956465,-38.14
Zahraniční návštevníci (Počet),20211001,484,0.340605207600282,-65.94
Zahraniční návštevníci (Počet),20211101,87,0.179752066115702,-82.02
Zahraniční návštevníci (Počet),20211201,159,1.82758620689655,82.76
Zahraniční návštevníci (Prenocovania),20170101,2427,NULL,NULL
Zahraniční návštevníci (Prenocovania),20170201,2649,1.09147095179234,9.15
Zahraniční návštevníci (Prenocovania),20170301,2086,0.787466968667422,-21.25
Zahraniční návštevníci (Prenocovania),20170401,5619,2.69367209971237,169.37
Zahraniční návštevníci (Prenocovania),20170501,4376,0.778786260900516,-22.12
Zahraniční návštevníci (Prenocovania),20170601,5966,1.36334552102377,36.33
Zahraniční návštevníci (Prenocovania),20170701,17119,2.86942675159236,186.94
Zahraniční návštevníci (Prenocovania),20170801,14602,0.8529703837841,-14.70
Zahraniční návštevníci (Prenocovania),20170901,5672,0.388439939734283,-61.16
Zahraniční návštevníci (Prenocovania),20171001,3730,0.657616361071932,-34.24
Zahraniční návštevníci (Prenocovania),20171101,1488,0.398927613941019,-60.11
Zahraniční návštevníci (Prenocovania),20171201,2252,1.51344086021505,51.34
Zahraniční návštevníci (Prenocovania),20180101,1474,0.654529307282416,-34.55
Zahraniční návštevníci (Prenocovania),20180201,5590,3.79240162822252,279.24
Zahraniční návštevníci (Prenocovania),20180301,1768,0.316279069767442,-68.37
Zahraniční návštevníci (Prenocovania),20180401,4034,2.2816742081448,128.17
Zahraniční návštevníci (Prenocovania),20180501,6572,1.6291522062469,62.92
Zahraniční návštevníci (Prenocovania),20180601,7678,1.16828971393792,16.83
Zahraniční návštevníci (Prenocovania),20180701,21606,2.81401406616306,181.40
Zahraniční návštevníci (Prenocovania),20180801,21431,0.991900398037582,-0.81
Zahraniční návštevníci (Prenocovania),20180901,8545,0.398721478232467,-60.13
Zahraniční návštevníci (Prenocovania),20181001,3609,0.422352252779403,-57.76
Zahraniční návštevníci (Prenocovania),20181101,1364,0.377944028816847,-62.21
Zahraniční návštevníci (Prenocovania),20181201,2397,1.75733137829912,75.73
Zahraniční návštevníci (Prenocovania),20190101,1242,0.518147684605757,-48.19
Zahraniční návštevníci (Prenocovania),20190201,1720,1.38486312399356,38.49
Zahraniční návštevníci (Prenocovania),20190301,1150,0.668604651162791,-33.14
Zahraniční návštevníci (Prenocovania),20190401,2467,2.14521739130435,114.52
Zahraniční návštevníci (Prenocovania),20190501,7229,2.93027969193352,193.03
Zahraniční návštevníci (Prenocovania),20190601,9330,1.29063494259234,29.06
Zahraniční návštevníci (Prenocovania),20190701,23617,2.53129689174705,153.13
Zahraniční návštevníci (Prenocovania),20190801,23333,0.987974763941229,-1.20
Zahraniční návštevníci (Prenocovania),20190901,7938,0.34020486006943,-65.98
Zahraniční návštevníci (Prenocovania),20191001,4897,0.616906021667926,-38.31
Zahraniční návštevníci (Prenocovania),20191101,1579,0.322442311619359,-67.76
Zahraniční návštevníci (Prenocovania),20191201,1903,1.20519316022799,20.52
Zahraniční návštevníci (Prenocovania),20200101,1669,0.877036258539149,-12.30
Zahraniční návštevníci (Prenocovania),20200201,2135,1.27920910724985,27.92
Zahraniční návštevníci (Prenocovania),20200301,573,0.268384074941452,-73.16
Zahraniční návštevníci (Prenocovania),20200401,NULL,NULL,NULL
Zahraniční návštevníci (Prenocovania),20200501,48,NULL,NULL
Zahraniční návštevníci (Prenocovania),20200601,1360,28.3333333333333,2733.33
Zahraniční návštevníci (Prenocovania),20200701,14381,10.5742647058824,957.43
Zahraniční návštevníci (Prenocovania),20200801,13583,0.944510117516167,-5.55
Zahraniční návštevníci (Prenocovania),20200901,4001,0.294559375690201,-70.54
Zahraniční návštevníci (Prenocovania),20201001,466,0.11647088227943,-88.35
Zahraniční návštevníci (Prenocovania),20201101,274,0.587982832618026,-41.20
Zahraniční návštevníci (Prenocovania),20201201,254,0.927007299270073,-7.30
Zahraniční návštevníci (Prenocovania),20210101,99,0.389763779527559,-61.02
Zahraniční návštevníci (Prenocovania),20210201,112,1.13131313131313,13.13
Zahraniční návštevníci (Prenocovania),20210301,38,0.339285714285714,-66.07
Zahraniční návštevníci (Prenocovania),20210401,95,2.5,150.00
Zahraniční návštevníci (Prenocovania),20210501,203,2.13684210526316,113.68
Zahraniční návštevníci (Prenocovania),20210601,1305,6.42857142857143,542.86
Zahraniční návštevníci (Prenocovania),20210701,5306,4.06590038314176,306.59
Zahraniční návštevníci (Prenocovania),20210801,6020,1.13456464379947,13.46
Zahraniční návštevníci (Prenocovania),20210901,3829,0.636046511627907,-36.40
Zahraniční návštevníci (Prenocovania),20211001,1050,0.274223034734918,-72.58
Zahraniční návštevníci (Prenocovania),20211101,189,0.18,-82.00
Zahraniční návštevníci (Prenocovania),20211201,480,2.53968253968254,153.97
