cat,yer,nuts13,name,val,k_growth_coef,k_growth_coef_pct,ksk_val,ksk_share,share_ksk_k_growth_coef,pct_share_ksk_k_growth_coef
visitors,2015,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,31885,0.860408009,-13.96,266358,11.97,0.841180604,-15.88
beds,2018,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,2589,1.023724792,2.37,21586,11.99,1.038095238,3.81
beds,2013,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,3200,0.91954023,-8.05,26139,12.24,0.941538462,-5.85
beds,2012,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,3480,0.947712418,-5.23,26764,13,0.937274694,-6.27
beds,2011,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,3672,0.956499088,-4.35,26476,13.87,0.95523416,-4.48
visitors,2014,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,37058,0.592539294,-40.75,260494,14.23,0.715794769,-28.42
beds,2010,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,3839,0.95975,-4.03,26443,14.52,0.964143426,-3.59
visitors,2001,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,38739,NULL,NULL,264563,14.64,NULL,NULL
acc,2020,SK0421,Okres Gelnica,NULL,NULL,NULL,381,NULL,NULL,NULL
beds,2020,SK0421,Okres Gelnica,NULL,NULL,NULL,20534,NULL,NULL,NULL
acc,2020,SK0428,Okres RoÅ¾Åˆava,NULL,NULL,NULL,381,NULL,NULL,NULL
beds,2020,SK0428,Okres RoÅ¾Åˆava,NULL,NULL,NULL,20534,NULL,NULL,NULL
acc,2001,SK0428,Okres RoÅ¾Åˆava,41,NULL,NULL,210,19.52,NULL,NULL
acc,2020,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,NULL,NULL,NULL,381,NULL,NULL,NULL
beds,2020,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,NULL,NULL,NULL,20534,NULL,NULL,NULL
acc,2020,n/a,Okresy OOCR SLRSP,NULL,NULL,NULL,381,NULL,NULL,NULL
beds,2020,n/a,Okresy OOCR SLRSP,NULL,NULL,NULL,20534,NULL,NULL,NULL
visitors,2015,n/a,Okresy OOCR SLRSP,47749,0.907689383,-9.23,266358,17.93,0.888063398,-11.19
visitors,2014,n/a,Okresy OOCR SLRSP,52605,0.617574548,-38.24,260494,20.19,0.745844108,-25.42
visitors,2021,n/a,Okresy OOCR SLRSP,40822,0.676555405,-32.34,199168,20.5,0.76951952,-23.05
visitors,2017,n/a,Okresy OOCR SLRSP,82751,1.027758458,2.78,366142,22.6,0.974137931,-2.59
visitors,2016,n/a,Okresy OOCR SLRSP,80516,1.686234267,68.62,347014,23.2,1.293920803,29.39
visitors,2019,n/a,Okresy OOCR SLRSP,106224,1.05040197,5.04,456493,23.27,0.888507064,-11.15
visitors,2018,n/a,Okresy OOCR SLRSP,101127,1.222063782,22.21,386088,26.19,1.158849558,15.88
visitors,2020,n/a,Okresy OOCR SLRSP,60338,0.568026058,-43.2,226522,26.64,1.144821659,14.48
visitors,2010,n/a,Okresy OOCR SLRSP,75043,0.82954357,-17.05,281205,26.69,0.859028001,-14.1
visitors,2013,n/a,Okresy OOCR SLRSP,85180,1.037224651,3.72,314651,27.07,0.933448276,-6.66
visitors,2012,n/a,Okresy OOCR SLRSP,82123,0.966209777,-3.38,283180,29,0.987402111,-1.26
visitors,2011,n/a,Okresy OOCR SLRSP,84995,1.132617299,13.26,289435,29.37,1.100412139,10.04
visitors,2009,n/a,Okresy OOCR SLRSP,90463,0.760327453,-23.97,291115,31.07,0.932193219,-6.78
visitors,2007,n/a,Okresy OOCR SLRSP,100358,0.931941646,-6.81,321774,31.19,0.886079545,-11.39
visitors,2003,n/a,Okresy OOCR SLRSP,97871,0.848411033,-15.16,294467,33.24,0.924617524,-7.54
visitors,2008,n/a,Okresy OOCR SLRSP,118979,1.185545746,18.55,356946,33.33,1.068611735,6.86
visitors,2005,n/a,Okresy OOCR SLRSP,101769,0.950161988,-4.98,295752,34.41,0.917355372,-8.26
visitors,2006,n/a,Okresy OOCR SLRSP,107687,1.058151303,5.82,305970,35.2,1.022958442,2.3
visitors,2002,n/a,Okresy OOCR SLRSP,115358,1.620902359,62.09,320856,35.95,1.336431227,33.64
visitors,2004,n/a,Okresy OOCR SLRSP,107107,1.094369119,9.44,285514,37.51,1.128459687,12.85
visitors,2021,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,29785,0.674234879,-32.58,199168,14.95,0.766666667,-23.33
beds,2009,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,4000,0.965950254,-3.4,26559,15.06,0.975388601,-2.46
acc,2016,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,47,0.712121212,-28.79,305,15.41,0.819680851,-18.03
beds,2008,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,4141,1.171760045,17.18,26825,15.44,0.981563891,-1.84
acc,2017,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,45,0.957446809,-4.26,289,15.57,1.010382868,1.04
beds,2007,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,3534,0.989638757,-1.04,22467,15.73,0.949305975,-5.07
acc,2019,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,59,1.053571429,5.36,373,15.82,0.971744472,-2.83
nights,2014,SK042A,Okres SpiÅ¡skÃ¡ NovÃ¡ Ves,85173,0.620044261,-38,537533,15.85,0.750118315,-24.99
