"y","ksk","gl","snv","rv","slr"
2010,"26443","344","3839","1977","2321"
2011,"26476","345","3672","1958","2303"
2012,"26764","355","3480","1922","2277"
2013,"26139","341","3200","1691","2032"
2014,"25707","344","2984","1608","1952"
2015,"25989","367","3106","1590","1957"
2016,"23188","371","2699","1446","1817"
2017,"21893","373","2529","1404","1777"
2018,"21586","437","2589","1496","1933"
2019,"22835","562","2677","1511","2073"
2020,"20534",NULL,NULL,NULL,NULL
