"y","ksk","gl","snv","rv","slr"
2010,"351","14","81","77","91"
2011,"346","14","78","74","88"
2012,"357","14","78","73","87"
2013,"346","13","70","70","83"
2014,"329","13","63","68","81"
2015,"351","16","66","70","86"
2016,"305","16","47","62","78"
2017,"289","15","45","59","74"
2018,"344","19","56","71","90"
2019,"373","21","59","71","92"
2020,"381",NULL,NULL,NULL,NULL
